v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,"Buenas tardes, necesito una carta de aviso para un trabajador que no ha concurrido ayer ni hoy a trabajar.",NaN,NaN,NaN
spam,"Me notificaron las absoluciones de Briner con esta fecha
Le entregaré la cédula a Crsitina.
Saludos,",NaN,NaN,NaN
ham,"Estimados: Para su conocimiento, hoy en la Obra x ubicada en la calle x N°AZ, comuna de ABC. Un trabajador, Pedro Palito - RUT x, cargo de trabajador, se tomó la grúa por la fuerza, el alegaba su no pago de sueldo completo y que las cotizaciones no se pagaban por el total imponible. El llegó a las 6:52 de la mañana y se dirigió inmediatamente con su equipo de trabajo a la grúa, saltándose todos los protocolos de ingreso a la obra. El trabajador se oponía a descender y para que esto ocurriera, él exigía un millón de pesos, sin esto, el descenso no iba a ocurrir, ya que por palabras dichas por él ""se encontraba cómodo"". 
Se intentó negociar con el trabajador, pero él se mantenía en su postura de no querer ceder ante las propuestas realizadas por el Administrador. 
El administrador, en primera instancia llamó a Carabineros, estos asistieron de inmediato, después llegó el gope y personal negociador de Carabineros, pero todas las negociaciones en un comienzo fueron sin éxito.  
A eso de las 1 de la tarde, se pudo llegar a un acuerdo con el trabajador, debíamos depositar $500.000 para que él pudiera bajar, la transferencia fue realizada a las 16:56 hrs. y el trabajador descendió de la grúa. 
Abajo lo estaban esperando Carabineros para llevarlo, él se fue alrededor de las 17:20 detenido. 
Favor preparar carta de despido por incumplimiento. 
Saludos. ",NaN,NaN,NaN
spam,"Adolfo,
Vas a la absolución mañana?
Saludos.",NaN,NaN,NaN
ham,"Hola x, buenas tardes, doña juanita me comentó que el trabajador Arturo Vidal, que iba a volver a la fabrica B, finalmente no lo volveremos a contratar, porque es muy conflictivo y está provocando situaciones que no corresponden, para que por favor, lo puedas finiquitar, muchas gracias. 
Saludos cordiales.",NaN,NaN,NaN
ham,"Estimado rale, por favor solicito a ud pueda realizar el analisis de la desvinculacion de 3 empleados en condicion de contrata del area de produccion, especificamente nuestra area de calidad, la situacion se provoca por faltas graves al cumplimiento de sus funciones que provoco la produccion de unnproducto en mal estado que como ya esta enterado nos provocó una demanda, de la cual don sergio quiere explorar la posibilidad de contrademandar o endosar responsabilidad al respecto a los responsables,
Quedamos atentos a la instruccion",NaN,NaN,NaN
spam,"Favor modificar el Reglamento Interno de la empresa adjunto a está correo acorde a la Ley N°21.327 y la Ley de inclusión. Saludos, ",NaN,NaN,NaN
ham,"Estimado, Con fecha de ayer un trabajador no se ha presentado a trabajar, ya es segunda vez en el trimestre. Favor generar carta de amonestación y si pudieses decirme que pasos seguir después. Saludos, ",NaN,NaN,NaN
ham,"Hola,Debemos terminar a un trabajador con pensión de alimentos por necesidades de la empresa, ¿Qué debemos retener? Favor indicar pasos a seguir. Saludos, ",NaN,NaN,NaN
spam,"Estimado rale, te solicito por favir enviar la copia de estatutos del año 2015 y ultimas modificaciones a la fecha por favor Gracias",NaN,NaN,NaN
spam,"Hola rale, estube convesando con cristian salazar y me indica que la mejor forma de poder llevar a cabo la restructuracion es accediendo a las condiciones del banco  en tal situacion te pido puedas agendar una reunion presencial con Claudio para poder definir los terminos de la prestacion de servicio, necesitamos contemplar una inyeccion de capital de 35 M usd, para fin del trimestre. Quedo atento.
Atte
Luis",NaN,NaN,NaN
spam,"Rale urgente necesito las fojas del estatuto 2022 desde la 456 a la 738.
Urgente por favor
Luis",NaN,NaN,NaN
spam,"Estimado rale como sabes se viene la ultima sesion de directorio y necesitamos saber si esta todo listo respecto a los acuerdos de la ultima reunion, me puedes enviar un mini informe ?
Atte.
Luis",NaN,NaN,NaN
ham,"Estimado, 
Buenas tardes, hoy en obra el trabajador Juanito Perez que se desempeñaba como cargo carpintero, a eso de las 4:10 de la tarde, realizando una maniobra para levantar una cuna de forma vertical, no revisó que en el interior había escombro y a la altura de 10 metros estos se cayeron, en el lugar donde se desplomó todo este material, realizaba sus labores el operador de la bomba de hormigón, quien recibió el impacto de los materiales en la espalda baja provocando heridas en ese lugar. 
La linea de mando decidió desvincular al trabajador de la obra, pues no es primera vez que le han llamado la atención por sus acciones imprudentes. 
El hito que tiene el trabajador tiene fecha aprox. de termino el 22-10-2021. 
Adjunto contrato de trabajo y el comprobante de la entrega del reglamento interno. 
Quedo atenta a la carta.
Saludos.",NaN,NaN,NaN
ham,"Buenas tardes, ABC de acuerdo a lo conversado, envío información del trabajador que el dia de hoy llegó en estado de ebriedad a la empresa después de su colación: 
aproximadamente a las 14:43 el [nombre supervisor] lo encuentra en piso x, al notarlo extraño el supervisor se acerca a lo cual el trabajador responde ""que estaba de cumpleaños y se tomó unos tragos"", a los cual se decide sacarlo de la empresa para evitar riesgos, los datos del trabajador son los siguientes: 
Favor orientar que hacer con este caso, si serán los abogados quienes se encarguen de enviar la carta de aviso o la preparamos acá.",NaN,NaN,NaN